query,esci_label,product_title,product_description,product_brand,query_id,product_id,intent,entities,timestamp,country,city,language,value_weight,confidence,brand,category,attributes,labelling_method
4 braiding hair not stretched,S,"jiefeng 8 Bundles Pre stretched Braiding Hair Extensions for Women 26 Inches Yaki Texture Professional Crochet Twist Braids Hair Synthetic Hair for Braids (20'', black to red)","<p>They are so beautiful braiding hair, so shiny, so colorful, so natural. </p> <p>It’s made with low temperature, flame-retardant, heat-resistant top quality Kanekalon. </p> <p>It’s friendly to your scalp.</p> <p>The hair is definitely healthy, definitely no tangles, no itch. </p> <p>You can braid through out without constantly pulling on knots.</p> <p>It can save you from braiding tangles and make your braid fast, enjoyable and pleasant.</p> <p>You can change the Pre-stretched braiding hair styles very easily. The length of 26 inch is enough for you to make complex styles such as faux locs, nu locs or box braids etc.It supports hot water setting. </p> <p>So buy this hair, start to enjoy your braiding trip</p> <p>Hair Weight:90g/Bundle</p> <p>Hair Length:26 inch</p> <p>Hair Color:Silver Gray</p> <p>Package:8 bundles braiding hair </p>",jiefeng,33,B08R3T19MS,informational,{},,us,,us,,,none,beauty/grooming/hair care,"braiding, hair, not stretched",LLM
4 pads without wings,E,"Always Ultra Thin Pads Without Wings, Unscented, Long Super 40 ea (Pack of 4)",,Always,34,B01IAIA95O,commercial,{},,us,,us,,,"Hewlett-Packard, HP (due to HP's product line called HP Pads)",tablets,"pads, without, wings, product type (assuming pads without wings are HP's HP pads), product without wing attachment",LLM
5 coil zipper without lock,I,"3 Nylon Coil Zippers by The Yard Long Zippers for Sewing,Silver Zipper Teeth 10 Yard with 20PCS White Tape White Gold Slider-VOC Zipper for Tailor Crafts(White Tape)","3 Nylon Coil Zippers by The Yard Long Zippers for Sewing,Silver Zipper Teeth 10 Yard with 20PCS White Tape White Gold Slider-VOC Zipper for Tailor Crafts(White Tape) PRODUCT DIMENSION: 3 teeth-4 tape wide and special cut easy for sewing nylon coil zippers by the yard bulk.Can be applied for home sewing uesd and arts crafts. QUANTITY: Package 10 yards zipper roll with 20 beautiful and strong matched no-locking sliders. COLORS:black tape,shiny siver plated and polished slider and pullers MATERIAL: Our nylon coil zippers are made of good quality nylon, thicker zippers tape and good quality metal zippers puller,and are certified by international inspection, which is durable and sturdy to use. WIDE APLLICATION: These nylon zippers can be used for costume designing, pillow cases, boutique accessories or other handicraft, also can be applied for fixing or sewing slacks, skirts and dresses, bags, pet clothes.",VOC voice of customer,35,B089T58KHN,informational,{},,us,,us,,,,zipper,"#5 coil zipper, without lock",LLM
5 machine screws,I,"5/16""-18 X 2"" Stainless Phillips Round Head Machine Screw, (25pc), Coarse Thread, 18-8 (304) Stainless Steel, by Bolt Dropper","<p>Bolt Dropper hardware is perfect for use near salt water, fresh water and other projects.</p> <p><strong>TOP QUALITY:</strong></p> <ul> <li>Rated for both indoor and outdoor use.</li> <li>Superior corrosion resistance to regular plating, made with 18-8 (304) Stainless Steel.</li> </ul> <p> </p> <p><strong>VALUE:</strong><br />Get the most out of your purchase We offer different size packages so you won't have to worry about running out of hardware in the middle of your project. Bolt Dropper hardware is more corrosion resistant and stronger than other hardware and we stand by our claim 100%.</p> <p> </p> <p><strong>SPECIFICATIONS:</strong></p> <ul> <li>Diameter: 5/16""</li> <li>Length: 2""</li> <li>Thread Type: Coarse </li> <li>Threads Per Inch: 18</li> <li>Quantity: 25 pcs</li> <li>Material: 18-8 (304) Stainless Steel</li> </ul> <p> </p> <p><strong><br />WARRANTY:</strong><br />Bolt Dropper hardware come with a 100% Satisfaction Guarantee, if you have any problems we will replace them free of charge</p>",Bolt Dropper,36,B07D1L792M,transactional,{},,us,,us,,,none,fasteners,"machine screws, size #5",LLM
5 orb to not fitting,I,BLACK 6AN AN-6 to M14x1.5 NPT Male Thread Straight Aluminum Fitting Adapter,<p>Application</p> <p>Universal Fits All Oil/ Fuel/ Water/ Fluid/ Air Line or Gauges with 6-AN Ends</p> <p>100% Brand NEW</p> <p>Made of high quality lightweight T6061 Aluminum</p> <p>Anodized finish for strength and durability</p> <p>2-way Heads</p> <p>Size AN-6 to M14x1.5 NPT</p> <p>Exactly Same as the Picture</p> <p>Professional Installer Is Highly Recommend(No Instruction Included)</p> <p> Interchange Parts Number:</p><p>Vehicle Fitment Information</p>,EMUSA,37,B07HY5ZJZ5,informational,{},,us,,us,,,,Orb,"Not fitting, Fifth",LLM
5 pull cord,S,OTOHANS AUTOMOTIVE Recoil-Starter-Pull-Start Assembly for Honda-GX120 GX160 GX200 Engine 4HP 5.5HP 6.5 HP (Steel Rod Paws) 28400-ZH8-013YA Generator Mower,"<p>Recoil Starter for HONDA GX120 (4HP) Gx160 (5.5HP) GX200 (6.5HP) Engine</p> <p>Replace part number: 28400-ZE1-003ZF, 28400-ZH8-013YA</p> <p>Features:</p> <p>Fits HONDA GX120 GX160 GX200 models</p> <p>Used on 4HP 5.5 HP 6.5 HP engines</p> <p>Red color, metal material, Round metal pawl type</p> <p>Package list:</p> <p>1x Recoil starter</p> <p>NOTE: There are 3 different recoil starter for GX120 GX160 GX200 generator, please check it carefully before you buy it, thanks.</p>",OTOHANS AUTOMOTIVE,38,B081L2QGBW,informational,{},,us,,us,,,,,"pull cord, fifth",LLM
5 zipper tape without pulls,S,Nylon Coil Zippers 5- Long Zippers by The Yard Gunmetal Metallic Teeth- Sewing Zipper Bluk Black Tape with 20PCS Slider-VOC DIY Zipper for Tailor Sewing Crafts 10 Yards(Black Tape),"We are committed to providing customers with satisfactory zippers. The Long Zippers is Nylon zipper tape, but has the metallic looking. So the zippers have the advantage of nylon coil zipper (like zipping smoothly, light weight, easy to sew, etc), also has the nice metallic looking as metal zippers. You can cut the zipper chain with any length for your favorite bags and other projects meet your unique needs.Practical and durable，Make your own size，Wide applications，Zip open & close smoothly，Easy to use, makes your project more shining, makes your sewing and fun",VOC voice of customer,39,B082SQY8RQ,transactional,{},,us,,us,,,none,textiles or packaging,"zipper tape, without pulls, #5, size",LLM
6 fishing hook without barb,E,Clouser Minnow Fishing Flies - Yellow & Brown - Mustad Signature Duratin Fly Hooks - 6 Pack (Assortment),"The Clouser Minnow is an extremely effective baitfish pattern used in both fresh and saltwater. Originally designed for bass, the fly has gained popularity in all waters. Just about every species of fish eats baitfish so this is a great fly if you don’t know what to tie on or what species you might encounter. I have seen everything from a 8” trout to a 100 lbs tarpon eat this fly. Region’s premium Clousers are tied on Mustad Duratin Signature fly hook with premium materials and lead eyes. The hook is extremely durable so it can be fished in saltwater. Our Crystal Clouser Minnow also has lots of white and flash to attract your prey. Our assortment comes with 3 flies from each of the two hook sizes all in the same pattern and color. Mustad Signature Duratin Fly Hooks Hand tied by qualified professionals Premium materials More on The Mustad Signature Hooks: The 2X extra heavy wire Saltwater Streamer hook is a classic O’ Shaughnessy style hook, suitable for a wide range of bonefish flies such as Crazy Charlie’s, Clousers, Redfish and Permit patterns, but also for traditional fish imitation patterns using Mylar tubing. The straight eye gives the fly a more natural swimming action when stripped in. The Mustad Signature fly hooks feature unique sharpness and strength. The hook features a 1X extra long shank and Duratin finish for maximal corrosion resistance. Developed in cooperation with the world´s top fly tiers to exact proportions between, gap, bend, wire diameter and shank length for precise scaling unmatched by others. Micro barb can easily be pinched down without damaging the hook for barbless applications. Chemically sharpened, Nor-Tempered high carbon steel.",Region Fishing,40,B07ZQQKF7D,transactional,{},,us,,us,,,none,fishing hooks,"without barb, #6 size",LLM
68 do not fuplicate key,I,Personali-Key Ilco Gears Shape Kwikset KW Key Blank,Ilco Gears Shape Personali-Key Kwikset KW key blank. Image is painted on both sides of key blank. Fits Kwikset KW1/KW10/KW11 keyway locks.,Personali-Key,41,B074FJVKSW,transactional,{},,us,,us,,,MongoDB,database error,"error, fuplicate key, mongoDB error, 68 error code",LLM
8 merchandising tags without string,I,"Hang Tag String Black 7"" 1000Pcs Nylon Snap Lock Pin Loop Fastener Hook Ties Easy and Fast to Attach by Renashed","<b>Pack Include:</b><br> 1000 Black Nylon Hang Tag Fasteners with Plastic Lockers.<br><br> <b>- Perfect Fastener choice for gift tag , hang tag , price tag. to attach tags to garment, purse, shoes, belt, luggage.</b><br> <b>- String locker mechanism make locking easily to save your time.</b><br> <b>- Toys luggage ,gift or any machine parts or where secured tags required.</b><br>",Renashed,42,B078H2722X,informational,{},,us,,us,,,string,merchandising,"without, string, #8, tags",LLM
8 phillips head wood screws,S,"14 X 2"" Stainless Oval Head Phillips Wood Screw (25pc) 18-8 (304) Stainless Steel Screws by Bolt Dropper","<p>Bolt Dropper hardware is perfect for use near salt water, fresh water and other projects.</p> <p><strong>TOP QUALITY:</strong></p> <ul> <li>Rated for both indoor and outdoor use.</li> <li>Superior corrosion resistance to regular plating, made with 18-8 (304) Stainless Steel.</li> </ul> <p> </p> <p><strong>VALUE:</strong><br />Get the most out of your purchase We offer different size packages so you won't have to worry about running out of hardware in the middle of your project. Bolt Dropper hardware is more corrosion resistant and stronger than other hardware and we stand by our claim 100%.</p> <p> </p> <p><strong>SPECIFICATIONS:</strong></p> <ul> <li>Diameter: 14</li> <li>Length: 2""</li> <li>Thread Type: Coarse (standard)</li> <li>Quantity: 25 pcs</li> <li>Material: 18-8 (304) Stainless Steel</li> </ul> <p> </p> <p><strong><br />WARRANTY:</strong><br />Bolt Dropper hardware come with a 100% Satisfaction Guarantee, if you have any problems we will replace them free of charge</p>",Bolt Dropper,43,B07D1L98GC,transactional,{},,us,,us,,,Philips,hardware/tools/screws,"8mm, phillips head, wood screws",LLM
8 tags without string,I,PH PandaHall 1000 Pcs 0.9x0.5 Inch Rectangle White Paper Tags Marking Strung Tags Writable Tags Display Label Price Tags with Hanging String for Jewelry Gift Sale Display,"<b> Specification: </b><br><br> Brand: PandaHall Elite<br> Material: Paper<br> Condition: Top quality, smooth, well polishing<br> Usage: Display label tags<br> Size: about 0.91""(23mm) in length and 0.52""(13mm) in width, toally about 1000pcs/set.<br> <br> ❤Marking tags are made of white paper card and offer a smooth writing surface for quick and easy labeling.<br> ❤Knotted string lets you add and remove tag easily without tying knots.<br> ❤You can get enough space for decoration or writing your name and message. <br> ❤Wide range of usage: you can write price, model or item number on these hang tags to manage your stock, and they are good for jewellery items, clothing display, shoes, stationery, exquisite arts and crafts, etc.<br> <br> <b>Note:</b> the picture shown is a representation of the item, you'll receive from the actual size items. Picture may appear larger on your screen. Color may vary slightly due to the color setting of each individual monitor. Please double check the sizes before purchasing. <br><br > <b>Customer Service: </b><br><br> If you have any problem of our product, you can click ""seller contact"" button in your Amazon account to email us. we would be delighted to help you and we will reply as soon as we can.",PH PandaHall,44,B0751KS4ZW,informational,{},,us,,us,,,none,none,"has hashtag, has number, specific context (8 tags), exclusion condition (without string)",LLM
82 jewelry box without cotton,E,Baoblaze 3pcs/Set Creative Wood Bamboo Case Jewelry Box Storage Organizer Christmas G - Red,"<p><b>Description:</b></p><p> - 100% brand new and high quality<br> - Material: Bamboo<br> - Fashion wood grain style, smooth and not to hurt hands<br> - Vintage wood beads button with strap design, great for gift choice and home decoration.<br> - Perfect for holding all kind of jewelries, trinkets and other small things.<br></p><p><b>Specification:</b></p><p> - Smallest One Size: Approx. 8 x 5.8 x 5 cm / 3.15 x 2.3 x 1.97 inch<br> - Middle One Size: Approx. 10 x 7.8 x 5.8 cm / 3.94 x 3.07 x 2.28 inch<br> - Largest One Size: Approx. 13 x 9.8 x 6 cm / 5.12 x 3.86 x 2.36 inch<br></p><p><b>Package Includes:</b></p><p>1 x bamboo box set（3pcs）<br></p><br><p><b>We have many years of experience in selling merchandise online, we are focus on providing best product and service to customers.</b></p>",Baoblaze,45,B07XSZFX8Q,transactional,{},,us,,us,,,none,jewelry box,"without cotton, jewelry box",LLM
"9x5"" wood screws",I,ThermoPro TP03B Termómetro Digital Cocina de Lectura instantánea Termometro Barbacoa para Carne Líquidos Alimentos Leche Aceite,,ThermoPro,46,B01IHHLB3W,transactional,{},,us,,us,,,3M (9x5 is a specific product line),fasteners/hardware,"wood screws, type #9, head type x5, specific product line",LLM
"do not disturb, jeidah bila",I,Dora's Womens Beach Floral Maxi Dress V-Neck Printed Unique Loose Summer Boho Dresses High Waisted Yellow,"<br><b>Material: </b>Chiffon <br><b>Feature: </b>Light Weight, Bright Color, Top a bit sheer and need a camisole<br><b>Collar:</b> Deep V Neck<br><b>Sleeve Type:</b> long sleeve & sleeveless <br><b>Dress Length:</b> A floor-length dress<br><b>Season: </b>Spring, Fall, Summer<br><b>Package Content: </b>1 Dress, 1 Waistband <br><br><b>Size Information:</b><br><b>L: </b>Bust 35.5""--------Length 57.5""--------Waist 31""<br><b>XL: </b>Bust 37""-------Length 58""--------Waist 32.5""<br><b>XXL: </b>Bust 38.5""-------Length 59""--------Waist 34""<br><br><b>We will be appreciated that you could contact us first when any problem in your order or products.</b>",lvenzse,47,B07PW4TZJF,local,{},,us,,us,,,jeidah bila,travel/service,"do not disturb, hotel/establishment",LLM
followme ultra soft velour robe without hood for men,E,"Yugo Sport Men's Plush Velour Bathrobe - Kimono Spa Hooded Robe (Medium-Large, Charcoal Velour)","<p><b>Experience true comfort the moment you step out of the shower with a plush men’s hooded bathrobe with built-in pockets from Yugo Sport. </b></p> <p>Looking for the best bathrobe to keep you warm and dry after a long, hot shower, soak in the hot tub, or relaxing steam in a sauna? Then you need the premium <b>Yugo Sport Luxury Men’s Bathrobe </b> designed to give you the soothing, breathable comfort you need. Crafted with a premium blend of cotton and polyester, our versatile men’s bathrobe offers a fashionable style and durable versatility you just won’t get with standard men’s pajamas or kimonos. Get the <b>Yugo Sport Luxury Men’s Bathrobe </b> today and see for yourself what loungewear is supposed to feel like. </p> <p><b>Product Details:</b></p> <ul> <li>Premium Cotton & Polyester Blend </li> <li>Kimono Style Bathrobe with Pockets </li> <li>Shawl Collar with Tie Belt </li> <li>Soft, Warm, Breathable Fabric </li> <li>Great for Home, Travel or Vacation </li> <li>Machine Washable </li> <li>Satisfaction Guaranteed </li> </ul> <p><b>Get a Yugo Sport men’s luxury bath robe for yourself or get one as a gift for Christmas Click ‘Add to Cart’ now to get one today. </b></p>",Yugo Sport,48,B077GCN995,commercial,{},,us,,us,,,none,apparel,"ultra soft, velour, robe, without hood, for men",LLM
hydrate not dydrate,E,"Hydrant HYDRATE Watermelonade No Added Sugar 30 Stick Packs, Electrolyte Powder Rapid Hydration Mix, Hydration Powder Packets Drink Mix, Helps Rehydrate Better Than Water",,HYDRANT,49,B08W9GF9HD,informational,{},,us,,us,,,none,health/beauty/personal care,"hydration, dry skin, skin health, hydration products, skincare advice",LLM
i am not chinese,I,Love Written in Vintage Chinese Character T-Shirt,,Ralph Lauren,50,B07RV7JV7Z,informational,{},,us,,us,,,none,none,"sensitive, cultural",LLM
i may not look like diesel decals,I,10 Things I Want In My Life Cars More Cars car t shirts T-Shirt,,car shirts for men,51,B07PLVM4KS,informational,{},,us,,us,,,Diesel,clothing/decals,"custom look, appearance, Diesel decals",LLM
metoo not you,I,50 Things They Don't Want You to Know,"<p><b>Breitbart.com editor Jerome Hudson delivers the red pills his listeners know him for, showing you the facts, statistics, and analysis that the mainstream media have worked so hard to hide.</b></p> <p>If you heard that one president deported more people than any other president, started the program of family separation, and did nothing to stop Russia’s election meddling, would you guess it was Obama?</p> <p>In <i>50 Things They Don’t Want You to Know</i> Jerome Hudson dives deeply into the things Americans are not supposed to realize. Many of our most hotly debate topics are shaped by Davos power brokers, woke college professors, TV talking heads, social media activists and feckless Washington swamp monsters who want you to only follow their narrative. </p> <p>Your teachers, your politicians, and your local paper are not likely to ever tell you:</p> <p></p> <ul> <li>Racial minorities fare far better in the absence of race-based affirmative action policies.</li> <li>Latinos make up a little more than 50% of the Border Patrol, according to 2016 data.</li> <li>The US settled more refugees in 2017 than any other nation.</li> <li>Between 2011 and 2016, the IRS documented 1.3 million identity thefts by Illegal aliens.</li> <li>Half of federal arrests are immigration-related.</li> <li>Welfare recipients in 34 states earn more than a person making minimum wage.</li> <li>Taxpayers doled out $2.6 billion in food stamps to dead people in less than two years.</li> <li>1,700 private jets flew to Davos to discuss the impact of global warming.</li> <li>Google could swing an election by secretly adjusting its search algorithm, and we would have no way of knowing.</li> </ul> <p>Once you’re done listening to <i>50 Things They Don’t Want You to Know</i>, you’ll never trust the powers that be to give you the whole truth again.</p>",,52,B07VC1G4L8,informational,{},,us,,us,,,none,awareness/activism,"movement, social, campaign",LLM
pinkandproud not sorry glitter lipstick,E,"Maybelline SuperStay Ink Crayon Lipstick, Matte Longwear Lipstick Makeup, Settle For More, 0.04 Ounce",,Maybelline New York,53,B07PGQDJ73,commercial,{},,us,,us,,,"glitter lipstick (implied, possibly from a brand such as Revlon or Maybelline)",cosmetics/lipstick,"pink, glitter, lipstick, not sorry",LLM
stuccoville life without a net,I,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,,Amazon,54,B07FZ8S74R,informational,{},,us,,us,,,none,none,"local, adventure, community, thrill-seeking, exhilarating",LLM
this is not a truck decals,S,JR Studio 3x9 inch If You Can Read This I'm About HIT The Brakes Bumper Sticker -Tailgater Vinyl Decal Sticker Car Waterproof Car Decal Bumper Sticker,,JR Studio,55,B07RTNBV6D,commercial,{},,us,,us,,,none,decal,"truck, decals, not, this",LLM
try not to suck tshirt,E,Try Not To Suck Shirt Funny Baseball T-Shirt,,Chicago T-Shirts,56,B07P8GG6XP,transactional,{},,us,,us,,,t-shirt,clothing/apparel,"unisex, funny/humorous, gift idea",LLM
$0.00 not kindleunlimited,S,Blood in the Bayou: A Bone-Chilling FBI Thriller (FBI Agent Jade Monroe Live or Die Series Book 1),"On her first assignment since her promotion to SSA status in the Serial Crimes Unit of the FBI, Jade Monroe and her new partner, Lorenzo DeLeon, are tasked to southern Louisiana, where disturbing discoveries have been made. Human bones have been found in numerous sites deep in bayou country, and the locals aren’t too excited about having outsiders poking around in their business.<br><br>When Jade has a chance meeting with a local hunter, she finds his assistance exactly what she needs to break through that unwelcoming barrier. She brings him on board as their go-between. The hunter inserts himself into their investigation and gains Jade’s trust, but is he authentic, or does he have his own agenda?<br><br>A bone-chilling blindside and a dangerous chase through the Louisiana swamps is just the beginning, but the question remains—is Jade the hunter, or is she the one being hunted?<br><br><b>FBI Agent Jade Monroe Live or Die Series books are listed in chronological order below</b><br>1 Blood in the Bayou<br>2 Blood Trail<br>3 Blood Reckoning<br>4 Blood Legacy<br><br><b>Editorial Review</b><br>“Recently promoted to a new role within the FBI, Senior Special Agent Jade Monroe and her partner, SSA Lorenzo DeLeon, are sent to Louisiana to find out why fresh piles of human bones are showing up near the swamps. With plenty of suspicious locals, including a good old boy determined to help, this adventure lands Jade in her murkiest waters yet. A delicious start to a promising new series.” Angela M., Line Editor, Red Adept Editing",,57,B0926VH8DK,local,{},,us,,us,,,Amazon,books,"price, not free, not Amazon Kindle Unlimited",LLM
$1,I,"Diapers Size 1 (8-14 lbs) Newborn, 198 Count - Pampers Swaddlers Disposable Baby Diapers, ONE MONTH SUPPLY (Packaging May Vary)",,Pampers,58,B07DCCP3Y1,commercial,{},,us,,us,,,$1 (assuming it represents a brand),string or none (not applicable here),,LLM
$1 dollar toys not fidgets,I,"YEAHPY 2 Pack Pops Fidget Spinner Rotatable Simple Dimple Fidget Toy, Stress Relief Anti-Anxiety Autism Hand Toys for Kids Teen Adult,Push It Bubble Handheld Mini Toy (B)","YEAHPY Rotatable Simple Dimple Fidget Toy, Stress Relief Anti-Anxiety Autism Hand Toys for Kids Teen Adult,Push Pop Bubble Handheld Mini Fidget Toy",YEAHPY,59,B091GDKH8K,commercial,{},,us,,us,,,none,toys,"dollar, price range, non-fidget, type of toy",LLM
$1 first addition charizard not fake,E,"Golden Groundhog TCG Deck Box Bundled with 100 Assorted Pokemon Cards (1 GX, EX, or V (170 HP or Higher) Ultra Rare, 2 Rares, 2 Holographics, 90 Common/Uncommons, and 5 Energy Cards)","Finally... A 100% Authentic Set of PKEMON Cards to Start or Grow Your Collection Why settle for cheap, resealed, or even potentially fake booster packs? Our genuine set of 100 PKEMON Cards will grow your collection the right way. Cards come from Assorted series & generations ranging from the base set to the newest release, making each one a surprise. Each pack is GUARANTEED to include: 1 GX, EX, or V (170 HP or Higher) Ultra Rare 2 Rares 2 Holographics 90 Common/Uncommons 5 Energy Cards 1 Golden Groundhog Deck Storage Box Battle Your Way to Victory With the addition of 100 cards, you can build new decks or use them to trade for other cards to round out your team. This assortment of cards is the perfect enhancement to your collection whether you're a new player or elite trainer. With this bundle, you'll be able to crush the competition and become a PKMN Master. Master the Art of PKMN Gifting Have a PKEMON lover in your life? You can make their day when you give them this set of Cards. It also makes the perfect birthday gift for any PKEMON fan. Each set can be broken down and divided as themed party favors. You can even create your own gift sets Packaged in a Simple Deck Storage Box for Your Convenience Pop these Cards into your bag or backpack for gaming on the go. Our Golden Groundhogs Deck Box is ideal for traveling, storing, and protecting your card set. Each box holds up to 100 playing cards.On a Quest for Quality? Then look no further All PKEMON cards are inspected by our quality assurance team with over 20 years of experience to assure they are in near mint to lightly played condition. And while we do our best to avoid it, lots may contain a small number of duplicates. Order Your 100-Pack Now Plus Stock Up for Friends Gotta Catch Em All",Golden Groundhog,60,B07DP6CZQV,informational,{},,us,,us,,,Charizard,Games,"Pokémon, card game, first addition",LLM
$1 items for men,S,"Hanes Sport Men's Pocket Shorts, Navy, X-Large",,Hanes Sport,61,B01ES40PIU,commercial,{},,us,,us,,,none,men's apparel,"items, for men, $1, price",LLM
$1 million that look real but that is not it,I,"Vinkor Flameless Candles Battery Operated Candles 4"" 5"" 6"" 7"" 8"" 9"" Set of 9 Ivory Real Wax Pillar LED Candles with 10-Key Remote and Cycling 24 Hours Timer","<b>Package Included</b> <br><br>9 x Vinkor Flameless candles(Diameter:2.2"",2 x H 4"", 2 x H 5"",2 x H 6"", 1 x H 7"", 1 x H 8"", 1 x H 9"")<br> 2 x remote controls<br> 1 x User Manual<br> <br> <b> STARTING TODAY: Replace Your Traditional Candles With The Most Elegant Flameless Flickering Candles & Enjoy Their Relaxing Effect With Peace Of Mind </b> <br><br> Do you love how calming the flame of a small candle is? <br><br> Are you always worried though about fire danger or any dangerous accident that may happen? <br><br> <b> Now You Have The Solution: Meet The Flameless Candle Set By Vinkor & Breathe New Life Into Your House </b> <br><br> Designed to exceed your expectations, this set includes 9 elegant pillar LED candles that offer a beautiful ambient touch to your dining room, bedroom or even bathroom, without posing the common threats that a real flamed candle does. <br><br> This set of 9 classy flameless flickering candles is a great alternative to traditional candles and can be used for a number of occasions. Ideal for: <br><br> Special nights, events, dinners<br> Birthday Parties<br> Christmas Decoration<br> As Bedside Table Light<br> Ambient nights in the garden, yard, camping<br> Restaurants, pubs, shops and more. <br><br> <b>A Convincingly Real Flickering Effect That Lasts </b> <br><br> Powered by 2 AA Batteries each, (NOT included) these LED pillar candles can live up to 50,000 hours, making them a way more economical solution than real candles that last up to a couple of hours before melting away. <br><br> And the best part? For your convenience these candles are easily operated through the remote control provided while they feature automatic On/Off timer function, to 2 hours/4 hours/6 hours/8 hours. <br><br> For example, set 2H at 18:00, it will automatically shutdown at 20:00. Will be automatically open at 18:00 next day, at 20:00 then automatically shut down. It will cycle every 24 hours. <br><br> <b>Don’t Squander It - Order Yours Today </b>",Vinkor,62,B07D266SGW,transactional,{},,us,,us,,,,Luxury or counterfeit goods,"high value, expensive, million dollar, look-alike, real or fake",LLM
$1 stuffed toy,E,"Jungle Friends Talking Plushie Set - for 3 Year Old & up Boy & Girl Baby, Realistic Sounding Stuffed Animal Toys Babies, Toddlers & Children - Lion, Elephant, Tiger, Zebra & Monkey - Carrier","<p><b>Afford Your Little Ones A Troupe Of Snuggle, Silky Smooth, Talkative Pals - Starting Today</b></p><p>Is a single, old teddy bear not enough to keep your little one's attention anymore?</p><p>Would you like your children to play with nothing but the best, most creative plush toys - and learn about the world at the same time?</p><p>If that's how things are, then great These jungle friends talking stuffed animals are exactly what you need</p><p><b>Hakol Premium Jungle Friends Talking Plushie Set - Realistic Sounding Stuffed Animal Toys</b></p><p>When you're a toddler or preschooler, more means better, and there's nothing more thrilling than vivid colors and exciting sounds. That's why this jungle friends talking plushie bundle is the best stuffed animal choice for your little ones</p><p>Give your little boy or girl the chance to meet a plush lion, a snuggly tiger, a cute elephant, and a cuddly monkey, and watch their little eyes light up with wonder and excitement as they find all about these stuffed animals' realistic sounds</p><p><b>Toys Crafted With Love & Care - The Toys Your Children Deserve</b></p><p>When it comes to children's toys, we firmly believe that there is no room for compromise.</p><p>All of our owl plushies and other stuffed toys are crafted with love and care, using exclusively non-toxic, BPA-free materials that are safe for you and your little one.</p><p>They are, after all, what our own children play with</p><p><b>So, What Are You Still Waiting For?</b></p><p><b>Order Your Own Hakol Premium Jungle Friends Talking Plushie Set Right Away</b></p><p><b>Just Click ""Add To Cart""</b></p>",HAKOL,63,B07PF84JDZ,commercial,{},,us,,us,,,no brand mentioned,stuffed toy,"$1 price, stuffed toy, toy",LLM
$10 amazon prime not prime wardrobe sweatpaants,S,"Hanes Girls' Big ComfortSoft EcoSmart Open Bottom Leg Sweatpants, Black, XL",,Hanes,64,B01IE1IW4M,commercial,{},,us,,us,,,Amazon,Wardrobe/Sweatpants,"Prime, $10 Deal, Non-Prime, Discounted",LLM
$10 blanket,E,"Smart Queen Kids Weighted Blanket (10 lbs, 41""x 60"", Throw Size) Perfect for 80-120 lbs Teens, Premium Glass Beads","<p><b>Use Precautions</b></p> <p>DO NOT USE ON CHILDREN UNDER THE AGE OF 3</p> <p>NEVER USE THE BLANKET TO COVER THE FACE OR HEAD</p> <p>AVOID IF YOU HAVE WEAK OR SENSITIVE JOINTS (KNEE, HIP, BACK OR JOINT PAIN)</p> <p> </p> <p><b>Product Information</b></p> <p>Size: 41x60 INCHES</p> <p>Lbs: 10 lbs</p> <p>Applicable crowd: Round 100 lbs Kids</p> <p>Material: 100% Premium Cotton</p> <p> </p> <p><b>Care Instructions</b></p> <p>1. A duvet cover is highly recommended for easy cleaning. 41x60 Inches sized weighted blanket duvet cover in market can be matched.</p> <p>2. Hand Wash: As is too heavy to hand wash, spot clean is a better choice.</p> <p>3. Hang Dry or Flat Dry</p> <p> </p> <p><b>Customer Concerns</b></p> <p>1. Too heavy</p> <p>A weighted blanket is more heavy than normal blanket. If you choose a fit size and weight based on your weight, Please give 7-10 days to adapt to this weight</p> <p> </p> <p>2. Too Small</p> <p>A weighted blanket is usually smaller than a normal blanket of the same size, which could help to concentrate the weight on your body</p> <p> </p> <p>3. Not Expected</p> <p>Once you receive your blanket, please take a moment to verify that it was not damaged in transit, if so please contact us immediately, we will solve any problem you have</p>",Smart Queen,65,B07V3MBK82,transactional,{},,us,,us,,,none,home goods or bedding,"blanket, soft, $10",LLM
