query,esci_label,product_title,product_description,product_brand,query_id,product_id,intent,entities,timestamp,country,city,language,value_weight,confidence,brand,category,attributes,labelling_method
$10 candles,S,"Aku Tonpa Flameless Candles Battery Operated Pillar Real Wax LED Glass Candle Sets with Remote Control Cycling 24 Hours Timer, 8"" 10"" 12"" Pack of 3","<b>Package Included</b><br> - 1 x LED Candles (Size: D 3"" x H 8"")<br> - 1 x LED Candles (Size: D 3"" x H 10"")<br> - 1 x LED Candles (Size: D 3"" x H 12"")<br> - 1 x Remote Control<br> - 1 x User Manual<br> <br> <b>Real Flame-effect Candles</b><br> These flickering candles are so realistic that practically indistinguishable from traditional burning candles.<br> Flame simulation technology makes the candles flicker, brings the most realistic experience to any room.<br> <br> <b>Real Wax & Elegant Design</b><br> The candle shell is made from paraffin wax, however there is no burning wick, smoke or messy dripping wax. They are perfect for places like bookshelves and bedrooms.<br> Smooth finish, classic ivory color and elegant design, use the Real Flame-effect Candles in locations where you would use real candles.<br> <br> <b>How to illuminating the Candle</b><br> Move the OFF-ON switch on the bottom to ON. The candle will illuminate until you manually move the switch to OFF.<br> ON-OFF button: Illuminating the Candle On=Off (Note:Before you use the Remote Control, switch the ON-OFF button to ON at the bottom of the LED candles).<br> TIMER: set On/Off Automatic Time feature, set to 2Hours/4Hours/6Hours/8Hours. <br>Mode: Candle-Flickering Lights; Light-Non-Flickering Lights.<br> Brightness Control: Left button to lower the brightness Right button to increase brightness.<br> <br> <b>More Tips:</b><br> 1. This candle is made of real wax and is flammable. Do not attempt to light this candle.<br> 2. <b>Keep out of direct sunlight, away from heat sources and out of extreme temperatures or your candle may soften or melt.</b><br> 3. Constant use of the timer however may considerably reduce battery life.<br>4. Please place the candle in an environment between - 5 and 50 degrees. Below five degrees below zero, the wax will crack, Above 50 degrees, the wax will melt.",AKU TONPA,66,B07Z52TYMZ,commercial,{},,us,,us,,,none,candles and home decor,"price, $10, candles",LLM
$10 credit not given on purchase on prime day,I,Gagster Upgraded Spider Prank Box - Fake Spider & Wooden Box Gag Gift for Kids - Joke Gift Box Packaging Adds to The Suspense - Unique Prank Toy - Always Startling,SpiderBox Prank Spider Box And Prank Package,Gagster,67,B088GQDVBD,transactional,{},,us,,us,,,Amazon,dispute/complaint,"$10 credit, not given, on purchase, on Prime Day, complaint or dispute about Prime Day",LLM
$10 gold eagle,E,2020 1/4 oz Gold American Eagle MS-70 NGC (Early Releases) by CoinFolio $10 MS70 NGC,This 2020 $10 American Gold Eagles is graded an MS70. The high point details stand out fantastically against the pristine fields. These Gold Eagle coins are certain to please even the most discerning numismatist or Gold collector.,,68,B089NL8GR3,transactional,{},,us,,us,,,American Eagle (coined by US Mint),coin collection,"gold, US coin, eagle design, price: $10",LLM
$10 lol literally not gonna change baby pet lol,I,"L.O.L Surprise 560296 L.O.L Sparkle Series con Acabado Brillante y 7 sorpresas, Multi",,L.O.L. Surprise!,69,B07PQVRPR1,transactional,{},,us,,us,,,none,pet accessories,"affordable, price-sensitive, informal, baby-related",LLM
$10 magnetic eyelashes without eyeliner,S,"EARLLER 10 Pairs Magnetic Eyelashes with Eyeliner Kit, Natural Look and Fluffy Volume Faux Mink False Lashes - Easy to Apply and No Glue Needed, Reusable Short and Long Lashes Set",,Earller,70,B08RXYMX1Y,transactional,{},,us,,us,,,none,beauty and cosmetics,"magnetic eyelashes, eyeliner-free",LLM
$10 stuff not books,I,"How to Draw Anime (Includes Anime, Manga and Chibi) Part 1 Drawing Anime Faces","<h1>How to draw Anime</h1> <br><p>Learn to draw Anime today with one of the best how to draw Anime book currently on Amazon.</p> <br><h2>Learn to Draw Anime</h2> <br> <br><p>Does your child, tween, or teen love Anime and drawing Anime? This book will teach them in an easy way how to draw Anime of all kinds. It starts with the basics and teaches them step by step the process of drawing Anime in a fun way.</p><p> <br>This book will teach your child how to draw, step by step, with the easiest approach possible...by using simple shapes. Each tutorial makes learning how to draw Anime as simple as possible.</p><p> <br>Joseph Stevenson has been teaching kids how to draw for almost ten years now, and his drawing techniques really work With this no-tears strategy, learning how to draw is fun for children as young as 5 years old, but also works for adults and teens. Learning to draw Anime is fun for kids, but even more fun when it comes easy to them.</p><p> <br>This book does just that...makes drawing fun and easy for everyone. This book will turn your child into the artist that he or she wants to be. Each animal drawing lesson is a step by step process. Each tutorial is broken down into the simplest of steps that can be followed by most people.</p><p> <br>This book is for both boys and girls, and is good for kids of most age ranges, but is best for kids aged 9-12 - but if your kids are 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, etc, they will all have fun trying these drawing tutorials out. Have fun drawing the day away</p><p> <br> <br>Find detailed instructions inside on how to draw:</p><p> <br>Anime<br /> <br>Manga<br /> <br>Chibi<br /> <br>Anime Eyes<br /> <br>Anime Hair<br /> <br>Anime Girls<br /> <br>Anime Boys<br /> <br>Manga Girls<br /> <br> and many more<br /> <br> <br></p><p>Learn how to draw Anime with step by step guides. You will learn to draw Anime using shapes, templates, lines and many more. Some Anime are easy and others are harder. Great for yourself or as a gift</p> <br> <br><h2>Frequently Asked Questions</h2> <br> <br><p><strong>How Long Will it Take to Learn to Draw Anime?</strong></p> <br> <br><p>Student’s abilities are different and learning to draw Anime can take some time. We have found though with daily practice that most students can learn to draw Anime within 1 - 2 months of starting with our learn to draw Anime book.</p> <br> <br><p>What drawing tools will I need?</strong></p> <br> <br><p>We recommend a set of colored pencils and a drawing pad. However learning to draw can be done with a basic pencil and copy paper as well. If you are just getting started we would suggest getting basic tools to make sure you enjoy drawing first.</p> <br> <br><p>Is this book for beginners or advanced artists?</strong></p> <br> <br><p>This book will be a great tool for beginners or advanced artists looking to get better at drawing Anime. The drawings do have some detail to them but that is always on the last step making it easy for beginner students to start out with the simpler version and then work to get better at the advanced versions.</p> <br> <br><p>Are there any other books I can buy that will help me?</strong></p> <br> <br><p>Yes Joseph Stevenson has multiple books on how to draw everything from Anime to people. You can find all of Joseph’s books on Amazon or other major bookstores.",,71,B086HWVY1M,transactional,{},,us,,us,,,none,unknown,"under $10, non-book item",LLM
$100 things that are not electronics,I,"ILC RGB LED Light Bulb, Color Changing Light Bulb, 40W Equivalent, 450LM, 2700K Warm White 5W E26 Screw Base RGBW, Flood Light Bulb- 12 Color Choices - Timing Infrared Remote Control (4 Pack)","<p>High quality standards and friendly customer services:<b> 2-year-warranty and 90-day-refund guarantee</b>. <b>If you have any question or get defective lights, please contact us customer service center, we will give the solution within 12 hours.<br> </b><br> <b>Features:<br> </b><br> <b>Multifunctional light bulb:<br> </b>LED RGB with remote control, colour-changing lights, brightness adjustment and 270-degree light bulb.<br> <br> <b>Anytime atmosphere setting:<br> </b>12 top favourite colour with Flash and Smooth modes.<br> b.Flash mode and Smooth mode gives you a stage effect when enjoy concert or stage performances.<br> <br> <b>Light assistance:<br> </b>The light has brightness that equivalent to 100% brightness 40W incandescent. Not only higher brightness, but also 3 levels adjustment is provided.<br> <br> <b>A better light solution:<br></b>Wall Switch Control Support: it remembers the last static colour or dynamic mode you used and stores the last set colour<br> <br> <b>Must-have Timing function:<br> </b>you can set the hours you want to turn off the light. Cycle timing of (24 hours) is another surprise timing option. We can install the light in the courtyard, the court and the corridor, and set the cycle time (24 hours).<br> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p><b>Technical Parameters:</b></p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p>Power: 5 Watts<br> Input Voltage: 85-265V Universal<br> Brightness: 450 LM<br> Color temperature: 2700K<br> National Radio: > 80<br> Beam angle: 270°</p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p><br> <b>What you get:<br> </b>light bulb x4<br> Remote control x2<br> iLC User manual x1<br> 2-year-warranty and 90-day-refund guarantee<br> </p>",ILC,72,B07F3X9Y98,informational,{},,us,,us,,,none,products,"things, $100, non-electronics",LLM
$11 fidget please just please $11 not 25 not,I,Flashing Cube Electronic Memory & Brain Game | 4-in-1 Handheld Game for Kids | STEM Toy for Kids Boys and Girls | Fun Gift Toy for Kids Ages 6-12 Years Old,"<b> Challenge your brains and fingers with FlashDash by Winning Fingers </b><br> Learn to play the world’s greatest electronic cube game FlashDash offers 4 exciting, fast-paced games <br> based on flashing lights that test (and improve) your memory and speed. <br><br> <b> Game 1 - Follow Me: </b> Study the color and location of 3 lights on the front panel of the FlashDash. <br> Then, rotate the cube quickly to find the matching light panel and press the coordinating buttons. <br> <b> Game 2 – Chase Me: </b> A blue light followed by a red light will dash all over the cube handheld <br> game. Make sure not to let ‘em out of sight Chase the red light by pressing the buttons as they light up <br> while rotating the cube to stay on course. <br> <b> Game 3 – Catch Me: </b> A fun adventure game that will keep you coming back for more “Catch” <br> the red lights by pressing the buttons, but be careful to avoid the green lights Blue lights give you bonus <br> points, so try to catch ‘em as well. <br> <b> Game 4 – Remember Me: </b> If you love Simon Says, you’ll love Remember Me Watch the <br> flashing lights and memorize the sequence. Then, repeat the sequence by pressing the correct buttons. <br> Each round adds another button to the sequence. <br> <b> Light Show Mode: </b> Enjoy a fun display of flashing lights and patterns when you press the <br> Light Show button <br> <b> Adjustable Volume: </b> Fun sound effects that accompany each game can be turned high, low, or <br> off to suit every kind of setting. <b> Ideal Travel Game: </b> Time will pass too quickly when you bring along this action-packed game console on <br> long road trips and plane flights. <br> <b> High Quality Build: </b> At Little Fingers, we",Winning Fingers,73,B07YSVBYHW,transactional,{},,us,,us,,,none,novelty/gadgets,"price-sensitive, fidget related, $11 price point, comparing to alternative price point",LLM
$12 label maker that’s not a cheap one,I,"Nespresso Capsules Vertuo, Double Espresso Scuro, Dark Roast Espresso Coffee, 30 Count Coffee Pods, Brews 2.7 Ounce",,Nespresso,74,B07M8YV12G,transactional,{},,us,,us,,,none,label maker,"$12 price point, not a cheap one, specific quality level",LLM
$13 bb guns without a yellow tube,S,Daisy Powerline 426 Air Pistol,,Daisy,75,B01B79P1SI,commercial,{},,us,,us,,,,bb guns,"price: $13, yellow tube: absence, bb guns: type",LLM
$13 fidget toys without paying for delivery,E,"46 Pack Sensory Fidget Toys Set with Gift Box, Stress Relief and Anti-Anxiety Bulk for Kids Teens and Adults, Hand Toy for Office Desk Decor, School Classroom Prizes, Travel Long Trip Stuff, Autism","PLEASE KEEP AWAY FROM KIDS AGE 3 AND BELOW. KEEP AWAY FROM PETS.<br> NOTE: <br> These toys are made of durable PVC plastic and glass as well as child safe silicone.<br> <br> 46 Piece of sensory toys in total: <br> 12 Funny Sticker<br> 1 Wacky Tracks<br> 2 Maze Toys<br> 2 Jumping Launchers Toy<br> 2 Squeeze Foam Basketball & Football<br> 1 Water Bead Stress Balls<br> 1 Squeeze Grape Ball<br> 1 Magic Cube<br> 1 Squeeze-a-Bean Soybeans<br> 2 Puzzle Ball<br> 3 Mochi Squishies Toys<br> 2 Coil Springs Toys<br> 4 Fidget Spinners<br> 5 Marble and Mesh fidgets<br> 1 Liquid Motion Timer<br> 6 Stretchy Strings<br> Quiet And Portable Toys You Can Bring Anywhere：<br> The toys don’t make any sound and are great to bring to school, office, restaurant, during counselling, camping trips, road trips, and even in the hospital<br> Students And Professionals：<br> Works wonders in improving focus, relieve stress, combat anxiety, or to simply pass time and control kids with tantrums and boredom while they are staying indoors.<br> Multipurpose Gift：<br> Amazing gifts that are very portable and can be played everywhere such as the library, schools, classrooms, offices, in the car, bus or plane. Because of the small size, these are great travel toys and can fit in small pockets, purses and bag slots. Moreover, these can be used as party favors or as party activities and as also great as a prize or incentive.<br> A Bundle of Fun：<br> These toys can be played, squeezed, stretched, flipped, pressed, and more. Great for all ages and can be brought anywhere. It helps redirect unconscious habits such as leg shaking, knuckle cracking, nail-biting, hair twirling, and others. These are child-friendly but also fits professionals<br>",LESUTER TOYS,76,B089MPM1JP,transactional,{},,us,,us,,,none,fidget toys,"without paying for delivery, $13, fidget toys",LLM
$139 one cup cousy not coffee maker,I,"Mueller Single Serve Pod Compatible Coffee Maker Machine With 4 Brew Sizes, Rapid Brew Technology with Large Removable 48 oz Water Tank","Mueller Single Cup Coffee Maker Brewer Machine always provides you fresh and delicious coffee no matter where you are. Compatible with most pods. Removable Drip Tray, Auto Shut-Off, Cool Touch Exterior and 4 different brewing options.",Mueller Austria,77,B07PYPX7M9,transactional,{},,us,,us,,,none,kitchen appliances/equipment or food,"price (under $139), capacity (one cup), product type (cousy, not coffee maker)",LLM
$15 doller bb guns not spring powered,E,Umarex 2252109 Brodax Air Pistol .177 BB,,Umarex,78,B01BU2ETGW,transactional,{},,us,,us,,,BB Guns,Toy/Outdoor,"price ($15), type (doller), power type (not spring powered)",LLM
$15 fidget pack without the pea poppet,E,"Stress Relief Fidget Toys Pack, Fidget Toys Set with Push Pop Bubble Simple Dimple,Decompression Fidgets with Infinite Cube,Fidget Toy Gifts That Easy to Carry for Kids","HooyYiiok Stress Relief Fidget Toys Pack, Fidget Toys Set with Push Pop Bubble Simple Dimple,Decompression Fidgets with Infinite Cube,Fidget Toy Gifts That Easy to Carry for Kids<br><br> 1*Infinite cube, 1*us Simple Dimple Toy, 1*Flippy Chain, 1*Stress Ball, 1*Multifunctional fidget toys, 2*Wacky Tracks, 2*Squeeze-a-Bean, 3*Stretchy String, 3*Mesh and Marble Sensory Toys, 5*Finger Ring. (Random colors of some products)",HooYiiok,79,B091CHD1VV,transactional,{},,us,,us,,,none,fidget pack or novelty toys,"price $15, item type fidget pack, no pea popper or specific feature exclusion",LLM
$150 laptop not previews,E,Acer (エイサー) Aspire 5 スリム ノートパソコン 15.6インチ フルHD IPS ディスプレイ AMD(アドバンスト・マイクロ・デバイセズ) Ryzen(ライゼン) 3 3200U (日本語配列ではない場合があります),9999,SHINEZONE,80,B07RF1XD36,informational,{},,us,,us,,,none,laptop,,Rule-based
$175 gram led frisbee gram not dollar,I,"36 Bulk 7"" Low-Cost Colorful Plastic Flying Discs or Party Plates - Ideal for Birthday Parties, Beach Days and Luaus, Crafting and DIY Projects","7"" Plastic Frisbee Throwing Discs Ideal Summer Fun Perfect as Party Favors, Beach Toys, Ultimate Frisbee, Church Events, Company Picnics, Labor Day BBQs, and much More Even use them as crafts - Use markers and stickers to bling these babies out 7"" Diameter. Not Suitable for Dogs - Plastic is flexible but not indestructible. These discs are for fun and will certainly fly but if you are looking for a pro quality disc please consider other items.",Funiverse,81,B07JQG42FJ,transactional,{},,us,,us,,,none,frisbee,"gram led, price ($175), non-monetary unit (gram)",LLM
$2 pop tube not a pack,I,"LIEASYKE 2 Pcs Mini Push pop Bubble Fidget Toys - Stress Relief Hand Toys Keychain Toy, Soft Silicone Stress Reliever Office Desk Toy for Kids Adults (Tie dye red & Blue)","<p>Mini Stress Relief Keychain</p> <p><br></p> <p></p> <p>Color: Tie Dye Red & Blue</p> <p>Style: Love shape</p> <p>Material: Silicone</p> <p>Weight: 41.8g/ 2 pcs</p> <p>Product size: 8cm *7cm</p> <p>Package include: 2 x mini Stress Reliever</p> <p><br></p> <p></p> <p>1.Mini push pop it fidget toys bubble sensory fidget toy autism special needs stress reliever-great for the old and the young or kids.</p> <p>2. It is very small and light weight, it can be hung on your body with the key, you can take it out to play at any time.</p> <p>3.Endless Fun: Just press the mouse bubbles down and they make a slight popping sound; then flip it over and start again Endlessly reusable and washable, too.</p> <p>4.It is suitable as a schoolbag pendant, a Mother's Day gift/birthday gift/Halloween gift/Christmas gift for friends, family, children, colleagues.</p> <p>5.Silicone Material: Made of high-grade Silicone materials, safe and non-toxic, Parents can rest assured, to buy for your children.</p>",LIEASYKE,82,B095GFZM9Y,informational,{},,us,,us,,,Dental or Oral Care,Toothpaste or Mouthwash,"$2, pop tube, not a pack",LLM
$20 not credible dog pool rectangular,I,"Clorox Pool&Spa 12105CLX pH Down, 5 lb",,Clorox,83,B084GPS6KR,transactional,{},,us,,us,,,none,pool or accessories,"price ($20), not credible, dog pool, rectangular",LLM
$20 off for amazon app not applied,I,"MINGER LED Strip Lights 16.4ft, RGB Color Changing LED Lights for Home, Kitchen, Room, Bedroom, Dorm Room, Bar, with IR Remote Control, 5050 LEDs, DIY Mode",,MINGER,84,B07JP5375R,transactional,{},,us,,us,,,Amazon,shopping/e-commerce,"discount, coupon/promotion, not applied",LLM
$20 rectangular not inflatable pool 26 i,I,"10ft Full-Sized Inflatable Swimming Pool, Upgraded 0.4mm Thicker Rectangular Family Lounge Pools, Outdoor Backyard Water Play Blow Up Above Ground Pools for Adults, Kiddie, Kids",URROY 10ft Inflatable Swimming Pool,URROY,85,B08RS7HM7X,transactional,{},,us,,us,,,none,swimming pool,"rectangular, non-inflatable, price range ($20), pool size (26 in/ft?)",LLM
$20 vr headset without controller,S,"Peiloh VR Headset Compatible with 4.7-6.3 inch iPhone and Android, Virtual Reality Headset with Wireless Headphones 3D VR Glasses Goggles for IMAX Movies & Cardboard Games, Soft & Comfortable","<p><strong><em>IMMERSIVE VISUAL EXPERIENCE</em></strong></p><p><br></p><p><strong>Every day you get to work and get off work, eat and sleep, Do you get tired of boring life, now it’s time to add some passion to your life.</strong></p><p><strong>Peiloh VR Headset is a truly remarkable video, movie, game assistant. 360°Panoramic wide view, giant screen visual feast, aspheric optical lens, Shocking IMAX effect, With premium built-in 3D surrounding stereo headphones, you can easily turn your cellphone into a private 360° viewing 3D IMAX cinema, ride on virtual rollercoasters, virtual game world, put yourself right into the scene in a second, start your great immersive journey in <em>the unlimited virtual reality anytime you want.</em></strong></p><p><br></p><p><strong><em>HOW to USE</em></strong></p><p><br></p><p><strong>1. Turn on your phone's Bluetooth to search and pair with the VR. After the name of the vr is displayed on the search bar, tap it to enter the connection bar.（The place where the phone is placed can be adjusted. You can adjust it to fit your phone. The VR is suitable for 4.7- 6.2"", full-screen 6.5inch Cellphone）</strong></p><p><strong>2.Open the cover plate ,put your cell phone into the VR headsets, make sure the cell phone screen is in the middle, then close the cover, Adjust the screen to the right direction.</strong></p><p><br></p><p><strong>Product Feature:</strong></p><p>Wireless Stereo Headphones</p><p>Foldable Design, Lightweight.</p><p>Breathable Foam Face for Extended Wear.</p><p>Comfortable and Adjustable Head Straps.</p><p>52mm Hyperboloid Anti-blue Lens</p><p>Eyesight Protection & Eyesight Adjustment.</p><p>Supports Screen Resolutions: HD, 1080p, 2K, 4K.</p><p>Support iPhone and Android Phones.(Screen Size: 4.6”- 6.5”).</p><p><br></p><p><strong>Package Included:</strong></p><p>Wireless VR Headset,USB Charge Cable,User Manual,Cleaning Cloth</p><p><br></p><p><br></p><p><br></p><p><br></p>",Peiloh,86,B08XX3YHJB,commercial,{},,us,,us,,,none,Electronic Gadgets/Virtual Reality (VR) Headsets,"price: $20, accessories: without controller",LLM
$230 pool for outdoors not plastic,I,"Splash Pad Water Toy Sprinkler Mat Pool for Kids Toddlers 68"" Outdoor Summer Toys Kiddie Baby Swimming Pools - Fun Backyard Trampoline Lawn Games Infant Wading Pool Slide, Water Play for Ages 1 - 12","The Zen Laboratory splash pad water sprinkler outdoor toys swimming kiddie pool for kids toddlers isn't your standard baby swimming pool. It's a 68"" water park in your backyard Hook it up to the hose and your yard will be the envy of the neighborhood next summer. This sprinkler for kids age 2-4 inflatable pool, inflatable pool above ground swimming pool, pool toys, kids baby pool, dog pool games, pool floaties toys for adults teens, pool for kids, toddler pool baby float, small pool toys for kids ages 4-8. Outdoor pool fun for the family and pets. trampoline sprinklerwater sprinkler for kids trampoline water sprinkler, fun sprinkler toy for big splash play mat. Sprinkler pool for kids outdoor play is overflowing with learning, fun and some quality bonding time for you, your babies, infants, children and your toddlers. Complete with child-friendly features and a whopping 68"" diameter, you and your kiddos can safely splash in the comfort of your own backyard. Great for those 1 year old, 2 year old and 3 year old kiddos who love the water, but aren't quite big enough to swim <br> <br> Spending time outside is the perfect getaway from all of today's technology that robs your children of their creativity Take this precious time outdoors to teach your child about the world without any digital distractions. It's a proven fact that time spent in the sun promotes both the mental and physical development of your child When girls and boys learn through play, they experience social and cognitive as well as emotional growth <br> <br> Build precious memories with your little one's in an environment that you know is safe. Zen Laboratory in a proud USA company that prides itself in educational toys that are both safe and fun. Wether your kiddos call it a water table, splash pad, inflatable pool or a sprinkler, you'll rest easy knowing not only is it both BPA and phthalates free, but it's also one of the safest (and exciting) alternatives to your traditional baby pool.",Zen Laboratory,87,B082WXCM5W,commercial,{},,us,,us,,,none,outdoor furniture or pool equipment,"price: $230, pool type: for outdoors, material: not plastic",LLM
$25 apple gift card not email,S,Best Buy Gift Card $100,,Best Buy,88,B07RQ9VFN6,commercial,{},,us,,us,,,Apple,Gift Card,"Apple, Gift Card, Physical/In-person availability preferred, Non-email delivery preferred",LLM
$25 ceiling fan without lights,I,"Ceiling Fan with Lights,Enclosed Low Profile Fan Light,LED 72W Remote Control Dimming 3-Color 3-level wind speed,Ceiling Light with Fan,Adjustable Wind,Hidden Electric Fan delier-White, 18 ln (Modern)","Specification<br> -Name: Hollow out ceiling fan with lights and remote control<br> -size：20.5*20.5*9.8 Inch<br> -Material: Acrylic<br> -Blade Material: ABS<br> -Number of Blades: 5<br> -Type of Light Source: LED<br> -Timing Function: Yes<br> -Voltage: 110v<br> -Lights Power: 72w(Max)<br> -Size: diameter 18Inches*high 8Inches<br> -Applications: Bedroom, Dining room, study room, office, foyer, etc<br> -Device luminous flux (about): 6400lm (lumen) ( 100% lighting) <br> Forward rotation (downward wind) <br> Packaging:<br> 1 * Ceiling fan with light,<br> 1 * Remote control(without batteries),<br> 1 * Instruction book.<br> WARM TIPS:<br> 1. Please install according to the instructions when installing.<br> 2. We suggest you ask a professional technician for help if you are not good at installing<br> ★Welcome to our store to learn more products.<br> ★If you have any questions, please email us, we will reply in 24 hours.<br>",N/N,89,B08HQHNTSG,transactional,{},,us,,us,,,none,ceiling fan,"price under $25, ceiling fan with lights not required, ceiling fan without lights option",LLM
$25 katana swords not real,E,"Sword Fort Handmade Katana Japanese Cosplay Anime Swords,Samurai Sword, Sharp Knife , Roronoa Zoro Sword, Shusui",,Sword fort,90,B089KDQP5H,informational,{},,us,,us,,,none,kayak/sports,"price, product authenticity",LLM
$25 xbox gift card not digital,S,$60 Xbox Gift Card [Digital Code],,Microsoft,91,B00F4CFBUS,transactional,{},,us,,us,,,Xbox,gift card,"non-digital, physical, $25, price",LLM
$275 airsoft guns,E,Double Eagle A&N 275FPS P169 1911 Airsoft Hand Gun Full Size Spring Pistol w 6mm BBS BB Fantastic Starter Airsoft Pistol Government .45,"<p>This is a fantastic starter airsoft pistol perfect for playing at home. </p> <p>The gun has high velocity of 300 feet per second and is accurate to around 100 feet.</p> <p>As always make sure proper safety equipment is used while playing with this gun, it is powerful and will cause damage if not used properly. </p>",Double Eagle,92,B07S8QWWTP,transactional,{},,us,,us,,,"Airsoft guns' manufacturers are various, but no specific brand is mentioned","Guns or Airsoft guns, but no specific category (e.g. replica, pistol, rifle)","Price: $275, Type: Airsoft guns",LLM
$3 nail tips without tax,E,Clear Nail Tips Acrylic Nails - French Nail Tip Ejiubas 500PCS Fake Nails Half Cover False Nails 10 Sizes with Case for Nail Salon and DIY Nail Art,"10 different sizes Nail Tips (half nails) The clear nail tips are made with high quality ABS material, which is sturdy and durable enough to last about 2 weeks. What's more, ABS is a kind of healthy and friendly material, no smell and no toxic to your body or your nails, providing you a safe and comfortable nail doing experience. Can add nail art decorations on the nails and design your own style and pattern Great for Both Professional Nail Specialist or Nail Art Learner. manageable for even a novice to the pointed nail craze.",Ejiubas,93,B07W92SMN9,transactional,{},,us,,us,,,,beauty/nail care,"nail tips, price less than or equal to $3, without tax",LLM
$30 roblox gift card not digital,E,Roblox Gift Card - 2000 Robux [Includes Exclusive Virtual Item] [Online Game Code],,Roblox,94,B07RX6FBFR,transactional,{},,us,,us,,,Roblox,gaming,"roblox, gift card, price $30, not digital, physical product",LLM
$35 bay casting left handed pole that does not do backlash,I,BAWLS Guarana 10oz 12pack,,Bawls,95,B00UI16QO0,transactional,{},,us,,us,,,none,fishing gear,"casting left handed, bay, pole, backlash issues",LLM
$3what can you buy without siri dollar toy,I,"LEGO Disney Raya and Sisu Dragon 43184; A Unique Toy and Building Kit; Best for Kids Who Like Stories with Dragons and Adventuring with Strong Disney Characters, New 2021 (216 Pieces)",,LEGO,96,B08NFBNCRG,commercial,{},,us,,us,,,none,dollar toys or dollar store products,"buy, without siri, $3",LLM
$4 worthy items not books,I,"HAUTOCO 12PCS A6 Size Binder Pockets with Label Pocket, PVC Cash Budget Zipper Envelopes 6-Holes Binder Pouches Folders for A6 6-Ring Notebook Binder","<b>Package includes:</b><br> 12 x A6 loose-leaf zip pocket with label pocket<br><br> <b>Specification:</b><br> <b>Quantity: </b>12 pcs<br> <b>Material: </b>PVC<br> <b>Size: </b>4.21 x 7 inches (10.7 x 17.7cm)<br><br> Multifunctional A6 Organizer Bag Set: work for A6 planners, notebooks, and 6-ring binder; <br>can hold stamps, coupon, credit cards, paper clips, receipts, business cards, photos, and other miscellaneous items.",HAUTOCO,97,B08P4KZYVQ,informational,{},,us,,us,,,none,"items, products","worth $4, not books, price range, product type",LLM
$40 bean bag chair for adults with bean not included,S,"Unicorn Stuffed Animal Toy Storage, Kids Bean Bag Chair Cover Only, Velvet Extra Soft Stuffed Organization Replace Mesh Toy Hammock for Kids Blankets Towels Clothes Home Supplies Pink","<b>Perfect gift for children,Treasure up your child's best memories</b><br> For many little kids, stuffed animals toys always be the best friend who accompany them grow up, and these would become their precious memories. As children’s stuffed animals can easily take over their bed, bedroom, and playroom, parents alway get tired of cleaning up. Now,you find a solution on how to put away your child’s stuffed animal in a useful way and keep your child's best memories<br> It is a durable and comfortable bag, which can be full of many stuffed animals toys. Designed especially for your needs, saving space, clean up your almost all house items to avoid messing.<p> <b>More durable</b><br> High quality thicker velvet fabrics, metal pull heads zipper and reinforced stitching, braving everything from your children's energetic play to the occasional spill,support they drag them all over the house and sit, stand, lay and flop all over them. Easy to use and clean, machine washable.<p> <b>Comfort support</b><br> When the bag getting full,it looks like adding a cuddly toy bean bag chair on the room and the kids can really stretch out and relax on it. Sitting on it with a good book,now enjoy your story time.<p> <b>Warm companionship</b><br> Whenever you return home, this unicorn stuffed animal is there waiting for you and give you a warm place to rest and relax.",Yoweenton,98,B07PT8M8SX,commercial,{},,us,,us,,,none,furniture/bean bag,"$40, for adults, with bean not included",LLM
$44red ' phone without having to pay production,I,$200 Visa Gift Card (plus $6.95 Purchase Fee),,Visa,99,B07HJD9FVV,transactional,{},,us,,us,,,Apple (implied by 'phone'),electronics/computing (implied by 'phone'),"price ($44 or less), color (red), feature (phone without having to pay production)",LLM
$5 items,I,"Soft Scrub In-Tank Toilet Cleaner Duo-Cubes, Alpine Fresh, 2 Count",,Soft Scrub,100,B079HXXP4T,transactional,{},,us,,us,,,none,none,"$5, items",LLM
$50 gifts for men,E,1971 50th Birthday Gifts Men Women | Birthday Gift for Man Woman turning 50 | Funny 50 th Party Supplies Decorations Ideas | Fifty Year Old Bday Coffee Mug | 50 Years Gag Office Cups Presents Mens,,LiliWair,101,B084SQ8P2P,commercial,{},,us,,us,,,none,gifts for men,"$50 price range, products for men",LLM
$50 not accepted,I,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Plum",,Amazon,102,B07HZQBBKL,informational,{},,us,,us,,,,Finance/Shopping,"Amount Limitation, Unaccepted Amount",LLM
